date,symbol,side,price,quantity
2022-09-23,NVR,BUY,4057.67,3.520669321486046
2022-09-23,BKNG,BUY,1651.86183124737,8.648250123272549
2022-09-23,MTD,BUY,1132.01,12.619777462844219
2022-09-23,AZO,BUY,2096.84,6.812972990649874
2022-09-23,CHTR,BUY,321.66,44.41246746786757
2022-09-23,BLK,BUY,554.59978429874,25.75860050825256
2022-09-23,CZR,BUY,35.37,403.89353366452605
2022-09-30,AZO,SELL,2141.93,6.812972990649874
2022-09-30,BKNG,SELL,1625.4796031595,0.19678488320033807
2022-09-30,CZR,SELL,32.26,403.89353366452605
2022-09-30,MTD,SELL,1084.12,12.619777462844219
2022-09-30,NVR,SELL,3987.08,0.07511910314357878
2022-09-30,CHTR,BUY,303.35,0.8741135921254511
2022-09-30,WST,BUY,244.320572375019,56.22811141528547
2022-09-30,BLK,BUY,516.04722654071,0.8623823359700206
2022-09-30,DASH,BUY,49.45,277.80959281190866
2022-09-30,NCLH,BUY,11.36,1209.3032011046553
2022-10-07,BKNG,SELL,1666.9769585508,1.7919660064258263
2022-10-07,BLK,SELL,516.159761372405,5.113626772028134
2022-10-07,CHTR,SELL,312.53,9.766049341517254
2022-10-07,DASH,SELL,49.39,277.80959281190866
2022-10-07,NCLH,SELL,12.9,348.7425981608388
2022-10-07,NVR,SELL,4255.08,0.8366141283100276
2022-10-07,WST,SELL,248.033832049445,11.4711857723263
2022-10-07,AZO,BUY,2174.0,5.106362363374072
2022-10-07,CCL,BUY,6.76,1642.1940499963362
2022-10-07,NOW,BUY,401.21,27.669379571733586
2022-10-14,AZO,SELL,2255.17,5.106362363374072
2022-10-14,BKNG,SELL,1652.46524928762,1.2247061850022338
2022-10-14,BLK,SELL,516.675546017671,4.125448375623834
2022-10-14,CCL,SELL,7.13,382.61387468716646
2022-10-14,CHTR,SELL,323.31,7.742836472568191
2022-10-14,NCLH,SELL,13.03,860.5606029438165
2022-10-14,NOW,SELL,341.76,1.3912702261273706
2022-10-14,NVR,SELL,3945.82,0.3329055944816088
2022-10-14,WST,SELL,245.760205136494,44.75692564295917
2022-10-14,MTD,BUY,1117.03,8.039897451236207
2022-10-14,KLAC,BUY,256.225184902506,35.05044460548087
2022-10-14,TDG,BUY,470.133251892901,19.102683364333178
2022-10-14,MS,BUY,376.795931982679,23.834669877399897
2022-10-14,MSCI,BUY,376.795931982679,23.83466987739989
2022-10-21,CCL,SELL,8.2,1259.5801753091696
2022-10-21,KLAC,SELL,282.391829686065,35.05044460548087
2022-10-21,MS,SELL,389.164516290404,23.834669877399897
2022-10-21,MSCI,SELL,389.164516290404,23.834669877399886
2022-10-21,NOW,SELL,360.67,26.278109345606214
2022-10-21,NVR,BUY,4046.65,1.4312198955220368
2022-10-21,BKNG,BUY,1803.12191737094,2.8851905589583557
2022-10-21,MTD,BUY,1174.38,4.734455650004463
2022-10-21,CHTR,BUY,330.4,17.62770667611125
2022-10-21,BLK,BUY,560.104613149132,9.402275905646285
2022-10-21,TDG,BUY,491.707384164567,11.40722004198642
2022-10-21,NCLH,BUY,14.93,1004.818807437041
2022-10-28,BLK,SELL,622.458287810563,26.784183602216896
2022-10-28,NCLH,SELL,16.52,1004.818807437041
2022-10-28,TDG,SELL,531.62867044862,30.509903406319598
2022-10-28,BKNG,BUY,1851.52395787861,1.9076233224248635
2022-10-28,NVR,BUY,4275.36,0.7220045167503278
2022-10-28,GNRC,BUY,116.7,162.26786000609232
2022-10-28,MTD,BUY,1264.55,2.2006650970994315
2022-10-28,CHTR,BUY,368.24,6.019373394923855
2022-10-28,ANSS,BUY,220.89,85.72891150668195
2022-11-04,ANSS,SELL,213.91,85.72891150668195
2022-11-04,BKNG,SELL,1854.17504041612,3.6754667809391237
2022-11-04,CHTR,SELL,348.82,16.5964549059921
2022-11-04,GNRC,SELL,101.25,162.26786000609232
2022-11-04,MTD,SELL,1284.51,5.5170811439397625
2022-11-04,NVR,SELL,4161.9,1.5101999748003494
2022-11-04,META,BUY,90.3678590548945,134.43734147079783
2022-11-04,BLK,BUY,615.33108180324,19.743541460875726
2022-11-04,WST,BUY,214.04857037683,56.75728038902542
2022-11-04,TSLA,BUY,207.47,58.556970770462144
2022-11-04,EPAM,BUY,312.52,38.87371920436379
2022-11-11,BKNG,SELL,1994.01964426995,1.4175585166009177
2022-11-11,BLK,SELL,726.553007128035,19.743541460875726
2022-11-11,CHTR,SELL,394.4,8.868744750992668
2022-11-11,EPAM,SELL,360.23,10.451720369487736
2022-11-11,META,SELL,112.494497525985,43.424386477844244
2022-11-11,MTD,SELL,1464.38,9.45793705440034
2022-11-11,NVR,SELL,4491.44,0.6395061379176236
2022-11-11,TSLA,SELL,195.97,6.311950408736361
2022-11-11,WST,SELL,249.346689391363,15.69615114251838
2022-11-11,GNRC,BUY,114.08,89.74804207825562
2022-11-11,NOW,BUY,409.91,24.977328292277328
2022-11-11,CRWD,BUY,143.12,71.53756735807295
2022-11-11,ESS,BUY,195.590911977978,52.34627998176198
2022-11-11,WBD,BUY,11.84,864.7345135377873
2022-11-18,CRWD,SELL,138.99,71.53756735807295
2022-11-18,ESS,SELL,192.220534442269,52.34627998176199
2022-11-18,NOW,SELL,399.38,24.977328292277328
2022-11-18,TSLA,SELL,180.19,52.245020361725786
2022-11-18,NVR,BUY,4392.59,1.037486323503358
2022-11-18,BKNG,BUY,1919.34418876365,2.4567484566898545
2022-11-18,GNRC,BUY,102.87,51.89067952812975
2022-11-18,META,BUY,111.529007678169,39.62906895200537
2022-11-18,WST,BUY,223.580301729792,24.107292027286096
