,turnover
2022-09-21,0.0
2022-09-22,0.0
2022-09-23,0.5
2022-09-26,0.0
2022-09-27,0.0
2022-09-28,0.0
2022-09-29,0.0
2022-09-30,0.5
2022-10-03,0.0012804460562464148
2022-10-04,0.004669605306874269
2022-10-05,0.0008020003026424916
2022-10-06,0.00031476957083201307
2022-10-07,0.6666666666666666
2022-10-10,0.002984671781323861
2022-10-11,0.0017662617367065203
2022-10-12,0.0007734873185391011
2022-10-13,0.006841009511192209
2022-10-14,0.6638289216374167
2022-10-17,0.0
2022-10-18,0.0
2022-10-19,0.0
2022-10-20,0.0
2022-10-21,0.6666666666666666
2022-10-24,0.0029122109312792743
2022-10-25,0.0021695938263929238
2022-10-26,0.010269736390343925
2022-10-27,0.0038132612848386094
2022-10-28,0.6629226859643746
2022-10-31,0.00011324355264810682
2022-11-01,0.0001229545362034512
2022-11-02,0.0005024176656805712
2022-11-03,0.004097853445775762
2022-11-04,0.004609982095011567
2022-11-07,0.006238360004962529
2022-11-08,5.311477996319813e-05
2022-11-09,0.0036288656913279205
2022-11-10,0.001543882855407297
2022-11-11,0.008376457620846517
2022-11-14,0.0033064961686544714
2022-11-15,0.002515356678837982
2022-11-16,0.002545475101652872
2022-11-17,0.003273361901849736
2022-11-18,0.006549739647689373
2022-11-21,0.006338065975886598
2022-11-22,0.0005795151183617397
2022-11-23,0.001110917157756769
2022-11-25,0.49313053198471835
2022-11-28,5.551115123125783e-17
2022-11-29,1.1102230246251565e-16
2022-11-30,1.1102230246251565e-16
2022-12-01,5.551115123125783e-17
2022-12-02,0.6666666666666665
2022-12-05,0.002211677375330262
2022-12-06,0.010446939355109652
2022-12-07,0.004215930173155691
2022-12-08,0.005610091537494893
2022-12-09,0.6580516463722307
2022-12-12,0.0
2022-12-13,0.0
2022-12-14,0.0
2022-12-15,0.0
2022-12-16,0.49999999999999994
2022-12-19,0.006212269036807105
2022-12-20,0.0042356816448841095
2022-12-21,0.0029321983089950765
2022-12-22,0.0008923939848343998
2022-12-23,0.4981519950980936
2022-12-27,0.0
2022-12-28,0.0
2022-12-29,0.0
2022-12-30,0.0
2023-01-03,0.0
2023-01-04,0.0
2023-01-05,0.0
2023-01-06,0.0
2023-01-09,0.0
2023-01-10,0.0
2023-01-11,0.0
2023-01-12,0.0
2023-01-13,0.5
2023-01-17,0.0023563066222163642
2023-01-18,0.0028191887652178615
2023-01-19,0.010518723381789857
2023-01-20,0.48994415876121167
2023-01-23,0.0
2023-01-24,0.0
2023-01-25,0.0
2023-01-26,0.0
2023-01-27,0.6666666666666665
2023-01-30,0.002531364026510524
2023-01-31,0.002096847909995203
2023-02-01,0.0021634135274614386
2023-02-02,0.03137150339983025
2023-02-03,0.6666666666666666
2023-02-06,0.0030517075164370466
2023-02-07,0.0037613033306039823
2023-02-08,0.007396841213230282
2023-02-09,0.004635538049128501
2023-02-10,0.012477223884841404
2023-02-13,0.0025914824748153598
2023-02-14,0.001313234163117044
2023-02-15,0.005391751286374258
2023-02-16,0.003686883165713556
2023-02-17,0.005173917814155382
2023-02-21,0.004332195597728877
2023-02-22,0.0017703182125458627
2023-02-23,0.0018966459805225822
2023-02-24,0.3333344456259968
2023-02-27,0.0033036464172779556
2023-02-28,0.008701726638686291
2023-03-01,0.001405232011555152
2023-03-02,0.0005647981752095188
2023-03-03,0.007368110408172923
2023-03-06,0.005065009179989199
2023-03-07,0.003122623388111756
2023-03-08,0.001463063760039851
2023-03-09,0.0007161434856149951
2023-03-10,0.004121593037532262
2023-03-13,0.001366320301506796
2023-03-14,0.014003803774502638
2023-03-15,0.004102529729286458
2023-03-16,0.0042797140085692464
2023-03-17,0.021019727210851546
2023-03-20,0.0010452799958026726
2023-03-21,0.002469785942850994
2023-03-22,0.0006368449780655705
2023-03-23,0.0037947067178271954
2023-03-24,0.3333333333333333
2023-03-27,0.0006463934910386493
2023-03-28,0.0014701695983163066
2023-03-29,0.0008212891431218228
2023-03-30,0.0005464277436191267
2023-03-31,0.0008572791455204176
2023-04-03,0.002265865752656082
2023-04-04,0.002102534867051281
2023-04-05,0.0010157991739801198
2023-04-06,0.003972077442788768
2023-04-10,0.0020223710883798818
2023-04-11,0.0037848359306300317
2023-04-12,0.001293751967835599
2023-04-13,0.0020355785993589337
2023-04-14,0.007654687101461138
2023-04-17,0.003688071237993168
2023-04-18,0.0023219630907469757
2023-04-19,0.0030164882778124236
2023-04-20,0.0011545332081877857
2023-04-21,0.009497740974511643
2023-04-24,0.0032730706285998556
2023-04-25,0.0032150004142573463
2023-04-26,0.014626640329248847
2023-04-27,0.02250031850363421
2023-04-28,0.015989923771870584
2023-05-01,0.0033118646029707266
2023-05-02,0.0028926260134936044
2023-05-03,0.001016741251361114
2023-05-04,0.003513867108612928
2023-05-05,0.00443792237981086
2023-05-08,0.0016223306341605626
2023-05-09,0.0018109976758816926
2023-05-10,0.00333796511200371
2023-05-11,0.003236507769535435
2023-05-12,0.33627274793362516
2023-05-15,0.0011215578064608933
2023-05-16,0.001835133416908552
2023-05-17,0.0014474289528288442
2023-05-18,0.00017966390243065455
2023-05-19,0.6666666666666666
2023-05-22,0.004467024132268793
2023-05-23,0.0025271964897976007
2023-05-24,0.004327176791327603
2023-05-25,0.0023893692666501765
2023-05-26,0.326788052995227
2023-05-30,0.002350542169622355
2023-05-31,0.0037085296701184767
2023-06-01,0.005617042695978236
2023-06-02,0.48832388546428096
2023-06-05,0.0
2023-06-06,0.0
2023-06-07,0.0
2023-06-08,0.0
2023-06-09,1.0
2023-06-12,0.0
2023-06-13,0.0
