,strategy_norm_%,baseline_norm_%
2024-01-02,0.0,0.0
2024-01-03,0.011548325624066713,-0.35562241433065855
2024-01-04,-0.5284813024686752,-1.484577145820365
2024-01-05,-0.07505866836144959,-1.3006726682929126
2024-01-08,1.951747577651597,0.8980770164509266
2024-01-09,2.452768444850695,1.4493382356737028
2024-01-10,4.6454503556334625,3.199328665094492
2024-01-11,4.6891248854288525,3.35326181761173
2024-01-12,5.632966490477509,3.8820800705683167
2024-01-16,5.424145322477947,3.1084995477964172
2024-01-17,4.769659003022242,2.674498415551607
2024-01-18,6.072243265284705,4.530707270298784
2024-01-19,7.64215289664909,6.193210472344357
2024-01-22,7.3047327506396975,6.100146418582741
2024-01-23,8.120423516205166,6.88293073545585
2024-01-24,9.025275035863366,7.678367194736424
2024-01-25,10.495718343034955,8.486862163421073
2024-01-26,11.086205373756531,8.531426407357179
2024-01-29,12.580200342961145,9.643941858338344
2024-01-30,11.002429954922643,8.531805645975776
2024-01-31,8.349541691849005,4.821725151078726
2024-02-01,11.197905932201735,6.386774845422982
2024-02-02,19.94545591544188,13.15975499711306
2024-02-05,17.743404236015238,12.144792752692869
2024-02-06,17.063128686054597,11.945880303346401
2024-02-07,19.468201357942295,13.670691016144932
2024-02-08,19.347976793351584,13.541688896927973
2024-02-09,20.88782261461539,14.925008336159129
2024-02-12,21.091837439903326,14.007730691019127
2024-02-13,18.8244321664498,11.951406729983137
2024-02-14,22.22295761048738,13.254796841411709
2024-02-15,24.99910871408939,13.069822703684641
2024-02-16,22.23328747505895,11.784628385721918
2024-02-20,21.838468309049695,11.307133916384604
2024-02-21,21.330424882081612,11.57860842836178
2024-02-22,25.102451220883015,14.37980983815148
2024-02-23,24.632856766636447,14.023931554472258
2024-02-26,24.09109765518389,12.633921577097794
2024-02-27,24.25826295312321,13.127140058079512
2024-02-28,23.93228096378468,12.421832636651441
2024-02-29,25.910738209369754,13.803955132408351
2024-03-01,27.490219957771323,14.49418126951667
2024-03-04,26.93056607161859,13.099348796327948
2024-03-05,24.17627140422558,10.878467582322937
2024-03-06,24.47016753556266,10.814522260698878
2024-03-07,27.34263344926329,12.986202958534477
2024-03-08,26.16552623996311,12.607289683047851
2024-03-11,23.31789554721897,11.31548696089908
2024-03-12,26.59773254931943,13.460593240868945
2024-03-13,26.511059337787323,13.324794981957865
2024-03-14,27.774329335769732,14.628948109200945
2024-03-15,25.182267096508394,12.810082681661994
2024-03-18,28.303806611514926,14.670919209968659
2024-03-19,28.45774546348703,15.19901464338198
2024-03-20,30.145837553927237,16.768984127607787
2024-03-21,30.416825057883035,16.169679375036594
2024-03-22,31.4475033856332,16.893933149242123
2024-03-25,30.079100448365104,16.05345260743607
2024-03-26,29.516743201235805,15.351634931778712
2024-03-27,29.37783471626596,15.84376661350051
2024-03-28,28.61076257807451,15.211331540921158
2024-04-01,30.825547645424244,16.33527942483979
2024-04-02,30.75302598807994,16.213899277855305
2024-04-03,31.562144215518018,17.071083268342278
2024-04-04,30.38311822832076,16.12744398476449
2024-04-05,33.14827122699919,18.533008553332774
2024-04-08,33.18009780219499,18.249299179505375
2024-04-09,33.6067357126735,18.653679015391432
2024-04-10,33.78660727745515,18.426810979059248
2024-04-11,35.76198407937936,20.541651609977542
2024-04-12,33.62510276969921,19.0950513657447
2024-04-15,31.508424397069934,16.80743449077875
2024-04-16,31.205886955380446,16.36738438619172
2024-04-17,30.926855205588176,15.630048267976026
2024-04-18,30.41614263390555,15.362025415329693
2024-04-19,27.95524368392077,12.774986178306968
2024-04-22,29.773804159407224,13.66699518446488
2024-04-23,31.417982123546075,15.56402596390889
2024-04-24,32.140423956274454,15.45530532017667
2024-04-25,29.54129414427651,11.151823738850686
2024-04-26,42.78606107761811,14.694372347045626
2024-04-29,40.910527474864786,13.6498499253348
2024-04-30,37.142411834114995,11.185384843072566
2024-05-01,39.180692184279955,12.5887810238811
2024-05-02,42.60014589643237,14.454314564056014
2024-05-03,43.44979359525085,16.930162807871895
2024-05-06,44.777730555481,18.371600368928508
2024-05-07,46.15179479615874,18.83109766613684
2024-05-08,45.05706135604588,18.812624869318096
2024-05-09,45.88358256868812,19.553288721557017
2024-05-10,44.54368821934664,19.133050364579084
2024-05-13,44.402871905222476,18.902865135334366
2024-05-14,45.10985522957349,19.64293484995119
2024-05-15,45.62343843931167,21.01335201086836
2024-05-16,45.4293274578927,20.35966015378856
2024-05-17,46.64744207293832,20.65922943128251
2024-05-20,47.17598024047582,20.8555052199487
2024-05-21,47.76139092241214,21.0364455299068
2024-05-22,47.52012354269715,20.926590832370472
2024-05-23,45.774416026315265,19.499106509902788
2024-05-24,46.46242833020386,20.892652988430594
2024-05-28,46.65670785967724,21.391531387143093
2024-05-29,46.035670141288335,20.950519987956497
2024-05-30,43.90071040076955,18.942365450131792
2024-05-31,44.17715792742158,18.730513559308058
2024-06-03,44.62240257880623,19.802412696187368
2024-06-04,45.17034096414911,20.169221281462523
2024-06-05,46.920854227124245,22.301168237299418
2024-06-06,47.00017740844991,22.790761806594094
2024-06-07,46.89263990431669,22.546616493257645
2024-06-10,49.42880908382949,23.391039358583576
2024-06-11,50.2221400090449,25.704438239843654
2024-06-12,50.290761781359315,27.000859766267872
2024-06-13,48.36509117591055,26.0920186432664
2024-06-14,48.380778258931656,26.202475844281704
2024-06-17,49.71653984852662,27.229423217068828
2024-06-18,48.325543073622754,25.97093718518677
2024-06-20,48.543472156984,26.18044862940332
2024-06-21,48.20910195618913,26.644298351321204
2024-06-24,47.85914342678168,26.31170066325459
2024-06-25,49.44899019013291,28.06598067599473
2024-06-26,52.595373361536524,29.67688159635131
2024-06-27,54.54861318470199,30.966068218542887
2024-06-28,50.98646187822011,28.297011147116645
2024-07-01,52.29318572810935,30.1637456623588
2024-07-02,54.12519405498175,31.66050412814092
2024-07-03,53.703720199133606,31.668599965487033
2024-07-05,58.64156513985912,35.30100570112262
2024-07-08,58.87864190120524,34.4543204281212
2024-07-09,59.199858829242146,34.22337973006404
2024-07-10,60.88526425199618,35.70129119668002
2024-07-11,57.10942888851507,31.773880514895115
2024-07-12,57.92816627314625,31.084901132738207
2024-07-15,60.57240467782354,31.34267327050413
2024-07-16,60.86011973739998,30.440874193832457
2024-07-17,56.791006751963735,26.766370759348757
2024-07-18,53.571338228133556,25.850170518953707
2024-07-19,53.66039288943063,25.655124973501554
2024-07-22,55.274661607533645,27.05063063979949
2024-07-23,55.686200194884414,27.874378197577055
2024-07-24,49.50880896707226,22.65357516465496
2024-07-25,46.83552363084216,20.610964260949483
2024-07-26,46.87541927697942,22.057745122886363
2024-07-29,47.06410122503195,22.627598133929784
2024-07-30,47.44146512113696,22.247418066842783
2024-07-31,49.65173936975389,23.912178457129517
2024-08-01,47.14496491705427,24.267915432073185
2024-08-02,48.155761067336144,20.656667029514253
2024-08-05,42.70436615357771,16.080957561046503
2024-08-06,44.803253899501286,17.146821109526456
2024-08-07,44.891332495717464,17.269765975242922
2024-08-08,49.210079666627514,19.92786086294691
2024-08-09,51.43257952236044,21.28541015234433
2024-08-12,51.70566109962857,21.17052817323797
2024-08-13,54.85782796504828,23.42183502127524
2024-08-14,54.75527728117604,22.955163030009484
2024-08-15,57.35264040383279,25.29150641114841
2024-08-16,56.369681656803714,24.892865349230497
2024-08-19,56.59006855319344,25.84148807033109
2024-08-20,56.426498013006075,26.1001993435126
2024-08-21,57.638116660551944,26.51173827789148
2024-08-22,56.51251627663314,24.828852233060218
2024-08-23,56.7289015076335,25.303584366661557
2024-08-26,55.82524582368977,24.63608407153366
2024-08-27,55.81908457300288,24.09812182001967
2024-08-28,54.94274545951598,23.04697394319579
2024-08-29,56.29648911649212,23.6448405280661
2024-08-30,56.4821847944742,25.039122344491147
2024-09-03,52.920300185708435,22.222682513935112
2024-09-04,52.41138882887897,21.521097801215028
2024-09-05,53.55248741322009,22.620114237249524
2024-09-06,50.52957223131784,19.345626983848184
2024-09-09,52.32121303969153,20.078545910172174
2024-09-10,53.87098431867958,20.998137456094533
2024-09-11,56.922674724516796,23.186376606705462
2024-09-12,58.049242986737724,25.052960591336127
2024-09-13,57.73325244826375,25.495610171316763
2024-09-16,57.19398198858925,25.27170476891991
2024-09-17,58.733390536877586,26.153211519277164
2024-09-18,57.748173524892366,26.44545381328807
2024-09-19,60.64624606252635,29.779480352830223
2024-09-20,60.75145780272202,30.09311976043707
2024-09-23,61.0985782309299,30.039519099954482
2024-09-24,61.44913258291973,29.913498710153075
2024-09-25,60.497034933736195,29.94639637837164
2024-09-26,60.327371892232875,29.997344712578066
2024-09-27,59.08427310028828,29.571861746020556
2024-09-30,60.2095673945106,30.610123827034453
2024-10-01,57.33076613248442,29.593592037657544
2024-10-02,57.37323411999022,29.036869236847206
2024-10-03,55.80077331424462,29.088299751459058
2024-10-04,58.120754927915485,30.728475386841158
2024-10-07,54.658967438823794,27.822141714128335
2024-10-08,56.766105344559946,29.47274838079572
2024-10-09,56.6366826370839,29.852824169029034
2024-10-10,55.99909360642135,29.553306881752327
2024-10-11,56.560076444030095,30.230514439307687
2024-10-14,57.91248717722644,30.895017362134645
2024-10-15,58.23905848895885,31.001258136205134
2024-10-16,56.26905833592944,29.9359385904298
2024-10-17,56.414919449528234,29.778371594575038
2024-10-18,57.33431793062411,30.40386978161729
2024-10-21,57.65098636763768,30.62664456287658
2024-10-22,58.378214480666045,31.66903605084057
2024-10-23,54.1709570002783,28.890377678250957
2024-10-24,54.66548980049419,29.32786978433146
2024-10-25,55.693138822698664,30.484457885598125
2024-10-28,55.12585797121354,31.184622239337244
2024-10-29,57.07497679426532,33.135316941038994
2024-10-30,57.285888905714884,33.64203139466368
2024-10-31,47.76575256476367,29.035940378037605
2024-11-01,49.22759168205268,30.469307094406318
2024-11-04,47.52412637173231,29.30877006709349
2024-11-05,49.14425672328664,30.876596343154517
