date,symbol,side,price,quantity
2022-09-23,AAPL,BUY,148.275953753636,674.4181876324488
2022-09-30,AAPL,SELL,136.221078300555,337.2090938162244
2022-09-30,AMZN,BUY,113.0,406.5043041805231
2022-10-07,AAPL,SELL,138.0840148996,337.2090938162244
2022-10-07,AMZN,SELL,114.56,135.51874022067418
2022-10-07,MSFT,BUY,228.947701032005,135.59474966250298
2022-10-07,GOOGL,BUY,98.2044296807257,316.11716811724665
2022-10-14,MSFT,SELL,223.396032052062,135.59474966250298
2022-10-14,AMZN,SELL,106.9,270.98556395984895
2022-10-14,GOOGL,BUY,96.0946466352946,616.6804073270634
2022-10-21,GOOGL,SELL,100.642622351153,621.8650502962067
2022-10-21,MSFT,BUY,236.649664335165,132.2337168450441
2022-10-21,AMZN,BUY,119.32,262.26168877950846
2022-10-28,GOOGL,SELL,95.8259478512067,310.9325251481033
2022-10-28,AMZN,SELL,103.41,262.26168877950846
2022-10-28,AAPL,BUY,153.509918484287,284.6759435690747
2022-10-28,MSFT,BUY,230.540873644207,57.32304244428309
2022-11-04,MSFT,SELL,216.388027371395,4.907626845771549
2022-11-04,AAPL,BUY,136.625207404052,7.772736176647317
2022-11-11,MSFT,SELL,241.526922822826,2.843030410357321
2022-11-11,AAPL,BUY,147.801658826323,4.64587740055206
2022-11-18,AAPL,SELL,149.371496084398,4.66104342281384
2022-11-18,MSFT,BUY,236.433232658282,2.9447088361994633
2022-11-25,AAPL,SELL,146.231821568248,292.43351372346024
2022-11-25,MSFT,BUY,242.57881083906,176.28532867924804
2022-12-02,MSFT,SELL,249.959385592053,240.6907596990972
2022-12-02,GOOGL,BUY,99.9559476807062,300.9471462581292
2022-12-02,META,BUY,122.91581578025,244.73219345356907
2022-12-09,GOOGL,SELL,92.3826226921541,300.9471462581292
2022-12-09,META,SELL,115.361106558677,244.73219345356907
2022-12-09,MSFT,BUY,240.549887898995,232.94487392947698
2022-12-16,MSFT,SELL,239.834374011918,176.64512688951274
2022-12-16,META,BUY,118.874693324442,356.3884982161402
2022-12-23,MSFT,SELL,233.992644194145,176.6451268895128
2022-12-23,META,BUY,117.491156326024,351.80231106238637
2023-01-13,META,SELL,136.343092117408,354.0954046392633
2023-01-13,AMZN,BUY,98.12,492.03487946475667
2023-01-20,AMZN,SELL,97.25,492.03487946475667
2023-01-20,META,BUY,138.721979474399,344.93735029767447
2023-01-27,META,SELL,151.034463409954,466.0218366246251
2023-01-27,GOOGL,BUY,98.8911043511726,355.87305093679504
2023-01-27,AMZN,BUY,102.24,344.21634405282407
2023-02-03,GOOGL,SELL,104.275031839749,355.87305093679504
2023-02-03,AMZN,SELL,103.39,344.21634405282407
2023-02-03,META,SELL,185.662702384728,24.82220329568105
2023-02-03,AAPL,BUY,152.540790171455,253.39372762227208
2023-02-03,MSFT,BUY,253.223305104333,152.64345207115147
2023-02-10,AAPL,SELL,149.322130132886,0.49902739504065424
2023-02-10,MSFT,SELL,257.879046150377,6.207454649215755
2023-02-10,META,BUY,173.340264945587,9.664738415563777
2023-02-17,AAPL,SELL,150.844917235758,3.7024094514302948
2023-02-17,MSFT,BUY,253.577699994842,1.8001861171896187
2023-02-17,META,BUY,172.076169990199,0.5927758161987926
2023-02-24,MSFT,SELL,244.891243868536,148.23618353912534
2023-02-24,AAPL,BUY,145.070192118375,128.21158428350913
2023-02-24,META,BUY,169.597747597351,104.37676478722054
2023-03-03,META,SELL,184.388653925754,8.576132543479567
2023-03-03,AAPL,BUY,149.341906588768,10.588732738865342
2023-03-10,AAPL,SELL,146.840184919764,2.808293093883021
2023-03-10,META,BUY,178.675342867542,2.307930521338781
2023-03-17,META,SELL,194.700483640576,6.669529933594552
2023-03-17,AAPL,BUY,153.267533081235,8.47250998055729
2023-03-24,AAPL,SELL,158.458852750116,128.76988640105264
2023-03-24,META,SELL,205.052127369741,105.18765231913696
2023-03-24,MSFT,BUY,275.696718931848,152.24584649234487
2023-03-31,AAPL,SELL,163.056878742553,0.14572006565795603
2023-03-31,META,SELL,210.954554996083,0.06644302460604509
2023-03-31,MSFT,BUY,283.292454888448,0.1333502432303879
2023-04-14,META,SELL,220.46015092046,6.2483734773768544
2023-04-14,AAPL,BUY,163.363413808716,2.9778476496865176
2023-04-14,MSFT,BUY,281.169972396048,3.169065296630423
2023-04-21,AAPL,SELL,163.175537477842,3.3821344667611237
2023-04-21,MSFT,SELL,280.79657269831,1.9376946306051117
