,strategy_norm_%,baseline_norm_%
2024-01-02,0.0,0.0
2024-01-03,-0.40367312035003433,-0.5036127106079813
2024-01-04,-0.4704051694363276,-1.2959695226408052
2024-01-05,0.5878218155329185,-0.7624495011614107
2024-01-08,4.015104981123185,2.16185319659683
2024-01-09,4.603967040197654,2.9281494653423668
2024-01-10,7.308977872168709,4.805148354721545
2024-01-11,7.724685736315662,5.096743260233683
2024-01-12,8.457495008619698,5.498671885192397
2024-01-16,8.243090154354359,5.432552147661318
2024-01-17,7.571103471750162,4.957046858223535
2024-01-18,8.908517640984659,6.868583357480662
2024-01-19,10.520405214198236,9.078893352984796
2024-01-22,10.173962763347234,9.057739797692378
2024-01-23,11.011464350911492,9.785836510848146
2024-01-24,11.940510769253997,10.963910878523508
2024-01-25,13.450272380108652,11.725889537446488
2024-01-26,14.056548491770382,11.560263854107511
2024-01-29,15.59049151447265,12.983540099797297
2024-01-30,13.970532995170238,12.16367737840065
2024-01-31,11.246708936166172,8.640467687350583
2024-02-01,14.171235820570537,10.46369254059294
2024-02-02,23.15268725723396,17.191895703595428
2024-02-05,23.21831227371922,17.443641305979618
2024-02-06,22.10889652817356,16.894154529486926
2024-02-07,25.41257131332415,18.980613769613154
2024-02-08,25.169815672040997,18.714638881747714
2024-02-09,27.1955931966942,20.72966494934596
2024-02-12,27.404315743988562,20.005058197783644
2024-02-13,26.105657076776257,18.24993355495057
2024-02-14,29.455911609106632,19.949223797561324
2024-02-15,29.821375941374974,19.365332793401624
2024-02-16,28.326631496620536,18.278767025194043
2024-02-20,25.3206350304221,16.787113617692494
2024-02-21,23.13453612282459,16.328240235172252
2024-02-22,35.369089385727314,22.491534495309516
2024-02-23,35.33064289944679,22.291506378989865
2024-02-26,34.742382221231026,21.228317806525233
2024-02-27,34.92389605175299,21.504042834758465
2024-02-28,34.56993359485905,20.557127042196587
2024-02-29,36.71821052551974,22.210265992945644
2024-03-01,38.433266137695554,23.881271857354804
2024-03-04,39.65021362150374,23.74241254258578
2024-03-05,37.96532885741004,22.14461237241414
2024-03-06,39.97689019461226,23.038055251679346
2024-03-07,44.46492542853626,26.221171454215984
2024-03-08,40.68403750800533,24.126484127533622
2024-03-11,37.4755825083317,22.443050004055
2024-03-12,43.50462417613619,26.354900063271145
2024-03-13,42.547253641617424,25.88705688206332
2024-03-14,41.79157510423863,25.95514683254081
2024-03-15,40.00162835896004,24.40222770996341
2024-03-18,42.57967840397803,26.166942691646543
2024-03-19,43.32418927273727,26.933325947703658
2024-03-20,44.835012745055145,28.57866442522219
2024-03-21,45.48691249798891,28.447070800296004
2024-03-22,47.98047668841499,30.038177478856177
2024-03-25,47.52523340514545,29.58449448039
2024-03-26,45.40092075752171,28.154993818649498
2024-03-27,43.54947164814402,27.765434501562325
2024-03-28,43.51012274757431,27.27508416644948
2024-04-01,44.180033407670805,28.214129594031935
2024-04-02,42.92499275871875,27.797748616399787
2024-04-03,42.371200317554816,28.34320729419042
2024-04-04,39.52722881645598,26.49834376473028
2024-04-05,42.4959706548329,29.230676282119326
2024-04-08,42.530031620727236,28.69147793098592
2024-04-09,42.98662172596514,28.412878590452205
2024-04-10,43.17912120778771,28.80687786597789
2024-04-11,45.29317970967648,31.806984651004576
2024-04-12,43.00627824568437,29.760638148901506
2024-04-15,40.27039839206448,27.098221138945135
2024-04-16,41.30165344872112,27.220795297133282
2024-04-17,37.77739521918166,25.436776314181596
2024-04-18,37.50171455710696,25.433497289196126
2024-04-19,28.869961784577903,20.34643414096329
2024-04-22,30.701522666582903,22.23789350563159
2024-04-23,32.357454422916554,24.823961746675472
2024-04-24,33.08506080070024,23.78317029011303
2024-04-25,30.46735049902056,21.219446261350107
2024-04-26,43.80680075837604,25.937347328521575
2024-04-29,41.39947631118479,25.074524577329882
2024-04-30,38.87976861255999,22.551936706485808
2024-05-01,36.57687187549179,22.55843582443817
2024-05-02,40.00608266096728,25.073618846537137
2024-05-03,42.70105343932891,28.165218802542967
2024-05-06,45.37695845130478,30.525954196644566
2024-05-07,45.43855063636912,30.36006933956874
2024-05-08,44.63646387167126,30.295539467982024
2024-05-09,44.29260990140547,30.336623918045902
2024-05-10,44.00992114840996,30.377782144716225
2024-05-13,44.19465328592289,30.36624133497854
2024-05-14,45.17536304346288,31.314114207339006
2024-05-15,47.26511147912884,33.58902183383867
2024-05-16,46.99144253642953,32.95050522581373
2024-05-17,46.796423276056956,32.54961499766678
2024-05-20,48.16169384087381,33.50938693391026
2024-05-21,48.48767781795444,33.86986305926094
2024-05-22,48.133687964467086,33.62744958243371
2024-05-23,54.3303380860271,35.49987474420286
2024-05-24,56.33023118907159,37.5850563228926
2024-05-28,59.98986707821825,40.57246309178461
2024-05-29,60.38508408946623,40.5246828022914
2024-05-30,56.78600633205182,37.354652686886155
2024-05-31,56.6807084181236,36.878103789855764
2024-06-03,59.92384625786944,39.628481500405854
2024-06-04,60.88304918748104,40.4313965276631
2024-06-05,64.64615878496092,44.28522077289758
2024-06-06,63.98125969648672,44.19424407136496
2024-06-07,63.89628615513128,43.95272664241454
2024-06-10,65.11919041454375,44.968528973114076
2024-06-11,63.93967078517664,46.59531763763714
2024-06-12,69.75640379045754,49.160248729010966
2024-06-13,75.7358426140667,49.9289876540967
2024-06-14,78.81369434413294,50.80658221902945
2024-06-17,77.59340070666241,51.3509213845998
2024-06-18,83.83045707596031,51.894040173655156
2024-06-20,77.32222434277867,50.407564714488814
2024-06-21,71.61396188305184,49.3372108022228
2024-06-24,71.20873866171334,46.13241313169405
2024-06-25,73.04965057767852,50.35583923984959
2024-06-26,76.69290375524886,51.805534003083494
2024-06-27,78.95459497486279,52.04586146455039
2024-06-28,74.82991646009151,49.66592208248577
2024-07-01,76.23360760960625,51.48453666400074
2024-07-02,77.247912777231,52.167764265312066
2024-07-03,78.86666252837674,54.11588440635746
2024-07-05,82.28808585024625,56.29505222628308
2024-07-08,83.68121671539843,56.409633653063594
2024-07-09,86.00741253700048,57.31764083954125
2024-07-10,88.76941639218998,59.770811062261345
2024-07-11,81.16948883912865,53.89908900381728
2024-07-12,82.2470761013292,53.96168237826946
2024-07-15,83.20872688213106,53.899647771516456
2024-07-16,81.90818633698042,52.428352264906785
2024-07-17,73.65887950549973,46.4697781702055
2024-07-18,73.98687542336972,46.77905126591255
2024-07-19,71.81023106994957,45.52297666121616
2024-07-22,75.73789631148036,48.62727165972145
2024-07-23,75.58331538592616,48.98497485101947
2024-07-24,66.92848455005198,41.7481994346782
2024-07-25,63.97910152539157,39.36429355475441
2024-07-26,64.38762980229644,40.839867876554
2024-07-29,64.59880862567968,40.806043209894426
2024-07-30,65.02116627244614,37.76922709801725
2024-07-31,67.4949753463661,43.75561036013418
2024-08-01,64.68931383570087,41.34936124504656
2024-08-02,65.82062896096885,37.66863912646985
2024-08-05,59.71925479366118,31.495446651466686
2024-08-06,62.06839655932859,33.69867870259946
2024-08-07,62.16697691906181,31.95319424096519
2024-08-08,67.00065579219203,36.2653720798517
2024-08-09,69.48814815353055,37.32053085592113
2024-08-12,69.79378972004156,38.702454574647135
2024-08-13,73.32179489816124,43.042461636541994
2024-08-14,73.20701691870522,43.3249167602648
2024-08-15,76.11406814328244,46.92601678918802
2024-08-16,75.01390952305191,47.18903205560559
2024-08-19,77.71641445629167,49.855173978410065
2024-08-20,76.30660334614949,49.1191129757065
2024-08-21,77.79600449971656,49.89463196512294
2024-08-22,74.72713339279622,46.84500083449479
2024-08-23,77.52499067115188,49.18890567379193
2024-08-26,75.51155713220939,47.62563275318578
2024-08-27,76.3485370971934,47.814073736507055
2024-08-28,74.45636096856343,46.007226796249
2024-08-29,71.81018751328561,43.73008061669117
2024-08-30,72.76459900446915,45.50796163584492
2024-09-03,64.65764684562127,39.22627283857511
2024-09-04,63.419512506977995,38.022178846823174
