name,final_equity,sharpe,max_drawdown,turnover_mean,var_95,cvar_95
opt_only,1130374.8216027129,2.5825387147,-0.2052201709,0.0487776302,-0.0346451924,-0.0500050335
arbiter_rl_heur,1130374.8216027129,2.5825387147,-0.2052201709,0.0487776302,-0.0346451924,-0.0500050335
consensus_div_precision,418193.3428248563,2.0562388419,-0.1675589418,0.0808916856,-0.02569551,-0.0400932925
