,turnover
2022-09-21,0.0
2022-09-22,0.0
2022-09-23,0.5
2022-09-26,0.0
2022-09-27,0.0
2022-09-28,0.0
2022-09-29,0.0
2022-09-30,0.6666666666666665
2022-10-03,0.00203198202133556
2022-10-04,0.006703063143011584
2022-10-05,0.0021678413558485765
2022-10-06,0.0014107212180152484
2022-10-07,0.6584604421532432
2022-10-10,0.009136838764717659
2022-10-11,0.0007707436750647723
2022-10-12,0.0007084899569597125
2022-10-13,0.0015396835490723293
2022-10-14,1.0
2022-10-17,0.001654518534001781
2022-10-18,0.007905894439711597
2022-10-19,0.0035943467252851358
2022-10-20,0.003600375221883445
2022-10-21,0.5095664414703117
2022-10-24,0.0032113549606882785
2022-10-25,0.0017770621078626592
2022-10-26,0.007408470620489022
2022-10-27,0.07501939719449763
2022-10-28,0.5
2022-10-31,0.002282889044804781
2022-11-01,0.005275144088979861
2022-11-02,0.003450686061066216
2022-11-03,0.014611854094799981
2022-11-04,0.4789452047999587
2022-11-07,0.0
2022-11-08,0.0
2022-11-09,0.0
2022-11-10,0.0
2022-11-11,0.6666666666666667
2022-11-14,0.0037709604698152877
2022-11-15,0.003513756241863536
2022-11-16,0.009604367396147728
2022-11-17,0.004663979926990719
2022-11-18,0.00821651099375198
2022-11-21,0.004573658095271604
2022-11-22,0.007294508217282142
2022-11-23,0.004825501005306987
2022-11-25,0.3224290355228003
2022-11-28,0.001045223540503959
2022-11-29,0.0015042364946768194
2022-11-30,0.004835649607278003
2022-12-01,0.0035534520588127727
2022-12-02,0.33333333333333326
2022-12-05,0.001972334809246662
2022-12-06,0.009062853692025391
2022-12-07,0.0023777807841653398
2022-12-08,0.011433959350447026
2022-12-09,0.31968254682703434
2022-12-12,0.0006117232931259764
2022-12-13,0.003212674490535805
2022-12-14,0.005858950066771035
2022-12-15,0.002317430971727291
2022-12-16,0.5043519832548365
2022-12-19,0.00026372274878569413
2022-12-20,0.004247060510570472
2022-12-21,0.0048156167687812
2022-12-22,0.013121552551647125
2022-12-23,0.6666666666666665
2022-12-27,0.0021304549685852436
2022-12-28,0.003527196236156105
2022-12-29,0.00012038041322864901
2022-12-30,1.0
2023-01-03,0.0
2023-01-04,0.0
2023-01-05,0.0
2023-01-06,0.0
2023-01-09,0.0
2023-01-10,0.0
2023-01-11,0.0
2023-01-12,0.0
2023-01-13,1.0
2023-01-17,0.016929902863101254
2023-01-18,0.0030892016883847517
2023-01-19,0.004255517768549211
2023-01-20,0.4904148165938327
2023-01-23,0.0
2023-01-24,0.0
2023-01-25,0.0
2023-01-26,0.0
2023-01-27,0.0
2023-01-30,0.0
2023-01-31,0.0
2023-02-01,0.0
2023-02-02,0.0
2023-02-03,0.5
2023-02-06,0.0005003545238939922
2023-02-07,0.005169435394329902
2023-02-08,0.01127457129798562
2023-02-09,0.009089456428565457
2023-02-10,0.02603381764477497
2023-02-13,0.001392829421430486
2023-02-14,0.013146473160718514
2023-02-15,0.0009889788650740972
2023-02-16,0.0017597703598017933
2023-02-17,0.3333333333333333
2023-02-21,0.005872408164916854
2023-02-22,0.002109997624681087
2023-02-23,0.028652234953020023
2023-02-24,0.31787750746730914
2023-02-27,0.003547863421085623
2023-02-28,0.010888275061014946
2023-03-01,0.00345840319131388
2023-03-02,0.005097811273266861
2023-03-03,0.005701003557976397
2023-03-06,0.003068256019393645
2023-03-07,0.002268392752802023
2023-03-08,0.00878449447864707
2023-03-09,0.003350492223125695
2023-03-10,9.735348332576277e-05
2023-03-13,0.0019174736354435895
2023-03-14,0.005838468343996012
2023-03-15,0.0030511292873052764
2023-03-16,0.004276479065644628
2023-03-17,0.006530592201100194
2023-03-20,0.001101099721084381
2023-03-21,0.002568489806600377
2023-03-22,0.005476866770910499
2023-03-23,0.0012061947023271902
2023-03-24,0.5
2023-03-27,0.001110300334892289
2023-03-28,0.0012077812674623767
2023-03-29,0.0007370394360603494
2023-03-30,0.0006675688010906733
2023-03-31,0.0020465603274071598
2023-04-03,0.0019257386424621908
2023-04-04,0.0037228986255330443
2023-04-05,0.0018600970189114607
2023-04-06,0.004442236328063981
2023-04-10,0.005525068561704427
2023-04-11,0.003271267827617233
2023-04-12,0.004578212705328391
2023-04-13,0.005395193402456533
2023-04-14,0.01192868995433495
2023-04-17,0.003764728005978088
2023-04-18,0.004731065823973216
2023-04-19,0.0032676352450482643
2023-04-20,0.004069023649208525
2023-04-21,0.008509283105848517
2023-04-24,0.0025383806296059436
2023-04-25,0.0031102530523194893
2023-04-26,0.011054440512307709
2023-04-27,0.02037573220405718
2023-04-28,0.48067044648324686
2023-05-01,0.0043445599862506346
2023-05-02,0.00396080453353706
2023-05-03,0.0014919997523477058
2023-05-04,0.004557634045194409
2023-05-05,0.5000000000000001
2023-05-08,0.0033654302294235106
2023-05-09,0.0031597896561553623
2023-05-10,0.0026394423592938226
2023-05-11,0.0038089271350511267
2023-05-12,0.2485719167238304
2023-05-15,0.004912217998588986
2023-05-16,0.001647880935673085
2023-05-17,0.0019514209691332829
2023-05-18,0.0008759659189070679
2023-05-19,0.6597889117975408
2023-05-22,0.0034174206229155846
2023-05-23,0.002348243385679405
2023-05-24,0.003714282592910484
2023-05-25,0.050958411717643065
2023-05-26,0.04147846511613759
2023-05-30,0.006910668374850326
2023-05-31,0.016695269517848804
2023-06-01,0.005132672733458937
2023-06-02,0.5046519284095394
2023-06-05,5.551115123125783e-17
2023-06-06,5.551115123125783e-17
2023-06-07,5.551115123125783e-17
2023-06-08,0.0
2023-06-09,5.551115123125783e-17
2023-06-12,5.551115123125783e-17
2023-06-13,0.0
2023-06-14,5.551115123125783e-17
2023-06-15,5.551115123125783e-17
2023-06-16,0.5
2023-06-20,0.003505951030201765
2023-06-21,0.0020160702545126974
2023-06-22,0.002975770548940271
2023-06-23,0.0014858897732512033
2023-06-26,0.00047396816189057556
2023-06-27,4.7286457764195156e-05
2023-06-28,0.003035190044209629
2023-06-29,0.0015166221948257896
2023-06-30,0.00203982246903861
2023-07-03,0.0014928308730034756
2023-07-05,0.007760108178682418
2023-07-06,0.0007619004594990875
2023-07-07,0.33333333333333315
2023-07-10,0.0047910855071924
2023-07-11,0.0028880987358070598
2023-07-12,0.00583268781864818
2023-07-13,0.008383188030534283
2023-07-14,0.6576519977346575
2023-07-17,0.0
2023-07-18,0.0
2023-07-19,0.0
2023-07-20,0.0
2023-07-21,0.5
2023-07-24,0.0007311711685162592
2023-07-25,0.0016924209310089089
2023-07-26,0.008343904438232158
2023-07-27,0.007718581812827918
2023-07-28,0.6666666666666666
2023-07-31,0.0047975880884408295
2023-08-01,0.004343866533751156
2023-08-02,0.005302959276726027
2023-08-03,0.001557239543728578
2023-08-04,0.3364205969115472
2023-08-07,0.001950780315451317
2023-08-08,0.003450984914580957
2023-08-09,0.007522066658164239
2023-08-10,0.0015403156657621264
2023-08-11,0.33333333333333337
2023-08-14,0.0003686353889199301
2023-08-15,0.0017622484251099413
2023-08-16,0.0031289088219269567
2023-08-17,0.007169625962245713
2023-08-18,0.334696503078823
2023-08-21,0.01625705235969313
2023-08-22,0.006611603957083989
2023-08-23,0.00413763435756434
2023-08-24,0.005587066791501977
2023-08-25,0.01836533420920894
2023-08-28,0.003112956490355978
2023-08-29,0.0046380202414373906
2023-08-30,0.0018758931270247692
2023-08-31,0.004294265758414573
2023-09-01,0.3321399493272261
2023-09-05,0.0017441766162187844
2023-09-06,0.004252842083993513
2023-09-07,0.008949520556278179
2023-09-08,0.75
2023-09-11,0.006460797470454693
2023-09-12,0.0016277485434566669
2023-09-13,0.0026506071457648717
2023-09-14,0.0031378489432154627
2023-09-15,0.008194795354504444
2023-09-18,0.0024691529477504637
2023-09-19,0.003514680882890503
2023-09-20,0.0026144591640583498
2023-09-21,0.006576502472122048
2023-09-22,0.742410607949419
2023-09-25,0.0
2023-09-26,0.0
2023-09-27,0.0
2023-09-28,0.0
2023-09-29,0.5
2023-10-02,0.0008001434456229028
2023-10-03,0.0015742074410540485
2023-10-04,0.001423963056469274
2023-10-05,0.0003326740654691074
2023-10-06,0.5
2023-10-09,0.0034438446778921744
2023-10-10,0.0036680904492288474
2023-10-11,0.001334834375158328
2023-10-12,0.0027167892885316403
2023-10-13,0.20000000000000007
2023-10-16,0.002568262595179574
2023-10-17,0.007687787309971925
2023-10-18,0.005302970781022903
2023-10-19,0.0020548696664027533
2023-10-20,0.3880271412849219
2023-10-23,0.0021967685780664714
2023-10-24,0.0038451474656936435
2023-10-25,0.02280992974518342
2023-10-26,0.0024379672151486065
2023-10-27,0.6465392329866562
2023-10-30,0.0
2023-10-31,0.0
2023-11-01,0.0
2023-11-02,0.0
2023-11-03,0.75
2023-11-06,0.001528824914029489
2023-11-07,0.002471396174133861
2023-11-08,0.002491555904978335
2023-11-09,0.0028541532413555865
2023-11-10,0.499674582068414
2023-11-13,0.003164637730005665
2023-11-14,0.0002945342790003358
2023-11-15,0.0006015516156245293
2023-11-16,0.003655503665732307
2023-11-17,0.33333333333333337
2023-11-20,0.0032759513989179534
2023-11-21,0.0010877590913612456
2023-11-22,0.009067704038124874
2023-11-24,0.6654248022063826
2023-11-27,0.004303768524266838
2023-11-28,0.004371302693305795
2023-11-29,0.0038481198836353148
2023-11-30,0.003435891379649114
2023-12-01,0.6666666666666665
2023-12-04,0.0011599134125787613
2023-12-05,0.0020715622017991597
2023-12-06,0.00185013657836533
2023-12-07,0.001822202810842194
2023-12-08,0.6619845348171157
2023-12-11,0.002423364131529715
2023-12-12,0.004806021368321506
2023-12-13,0.0037497449692579787
2023-12-14,0.0013646469166897768
2023-12-15,0.33333333333333315
2023-12-18,0.007690619972181095
2023-12-19,0.004570211032261184
2023-12-20,0.005240568802176132
2023-12-21,0.003644211668906411
2023-12-22,0.6666666666666666
2023-12-26,0.0008879491038763232
2023-12-27,0.002836399170630527
2023-12-28,0.0004015958400126196
2023-12-29,0.3368277952544295
2024-01-02,0.003089231448141716
2024-01-03,0.0031970871653194677
2024-01-04,0.005961566785536249
2024-01-05,0.24999999999999997
2024-01-08,0.00799931484876891
2024-01-09,0.0040546202060638276
2024-01-10,0.0037774535213818544
2024-01-11,0.002147744185860709
2024-01-12,0.5087177766801879
2024-01-16,0.002493478635721552
2024-01-17,0.001403984389776236
2024-01-18,0.0005843821287915274
2024-01-19,0.3365672741222128
2024-01-22,0.00023591377949208625
2024-01-23,0.00020322946313058865
2024-01-24,0.0014482362072504584
2024-01-25,0.0038747929184412555
2024-01-26,0.5053557134420532
2024-01-29,0.0024662633400188982
2024-01-30,0.00476160201415729
2024-01-31,0.0010309328999438538
2024-02-01,0.00046536723661178003
2024-02-02,0.6666666666666666
2024-02-05,0.01579541702610554
2024-02-06,0.00285507118732356
2024-02-07,0.0019188072507971554
2024-02-08,0.0015977343649007658
2024-02-09,0.33026649291741406
2024-02-12,2.330183348836501e-05
2024-02-13,0.00430986361094271
2024-02-14,0.0009822793203154712
2024-02-15,0.009851836531536456
2024-02-16,0.006547554074397527
2024-02-20,0.010294943408286378
2024-02-21,0.005514713053057563
2024-02-22,0.02847357051956978
2024-02-23,0.33333333333333326
2024-02-26,0.0014674566372814835
2024-02-27,0.0037487313838193703
2024-02-28,0.002007303730145571
2024-02-29,0.0015579325098275532
2024-03-01,0.33458312542578
2024-03-04,0.009728080064481642
2024-03-05,0.007048931519784973
2024-03-06,0.008694423711123028
2024-03-07,0.0061988832255487625
2024-03-08,0.5
2024-03-11,0.006239075650072035
2024-03-12,0.009059550537886846
2024-03-13,0.000703155953957979
2024-03-14,0.0063346650028223705
2024-03-15,0.6666666666666669
2024-03-18,0.009042188808136703
2024-03-19,0.003277608187067016
2024-03-20,0.0004814415227353819
2024-03-21,0.004111190125243025
2024-03-22,0.24999999999999994
2024-03-25,0.003710326928260288
2024-03-26,0.005194868086490195
2024-03-27,0.004503644388746994
2024-03-28,0.0031302958740959813
2024-04-01,0.004368341821702704
2024-04-02,0.003707307604614324
2024-04-03,0.0038237970226479984
2024-04-04,0.008211057966544269
2024-04-05,0.4851695166198617
2024-04-08,0.005192151317979898
2024-04-09,0.002731454546263057
2024-04-10,0.0014592920927272435
2024-04-11,0.002693834811281992
2024-04-12,0.32432461949249713
2024-04-15,0.0011965672022388185
2024-04-16,0.00033492256818262733
2024-04-17,0.004524112407788994
2024-04-18,0.0037236359035737465
2024-04-19,0.49328374145905873
2024-04-22,0.0
2024-04-23,0.0
2024-04-24,0.0
2024-04-25,0.0
2024-04-26,0.6666666666666666
2024-04-29,0.008425568298676966
2024-04-30,0.003465425466253752
2024-05-01,0.012086081198460413
2024-05-02,0.0034014353503431516
2024-05-03,0.012282971379467517
2024-05-06,0.006213269144278444
2024-05-07,0.00602094946312115
2024-05-08,0.0018200971437558888
2024-05-09,0.005383787262476097
2024-05-10,0.003832625400217171
2024-05-13,0.002042920982860741
2024-05-14,0.0013561341354000611
2024-05-15,0.007104671339364876
2024-05-16,0.0038545435727031507
2024-05-17,0.33333333333333326
2024-05-20,0.0035798866788811223
2024-05-21,0.0006325109557271946
2024-05-22,0.0021955404795886146
2024-05-23,0.022958897308237636
2024-05-24,0.341423923160431
2024-05-28,0.01511115544519534
2024-05-29,0.001961095167443888
2024-05-30,0.00921997157908036
2024-05-31,0.33333333333333337
2024-06-03,0.009227406231106738
2024-06-04,0.0022126130455522863
2024-06-05,0.009488746291303307
2024-06-06,0.0037450493675519336
2024-06-07,0.6484905970445576
2024-06-10,0.0
2024-06-11,0.0
2024-06-12,0.0
2024-06-13,0.0
2024-06-14,0.0
2024-06-17,0.0
2024-06-18,0.0
2024-06-20,0.0
2024-06-21,0.0
2024-06-24,0.0
2024-06-25,0.0
2024-06-26,0.0
2024-06-27,0.0
2024-06-28,1.0
2024-07-01,0.003894715716393632
2024-07-02,0.00081020348766217
2024-07-03,0.003156773613270797
2024-07-05,0.6652058714041653
2024-07-08,0.00555378934875464
2024-07-09,0.006061009521694999
2024-07-10,0.006059496997009889
2024-07-11,0.008310044923723475
2024-07-12,0.5
2024-07-15,0.005703239201727883
2024-07-16,0.004528093678713929
2024-07-17,0.010717578946264683
2024-07-18,0.011659483968209428
2024-07-19,0.3333333333333333
2024-07-22,0.00805261580969202
2024-07-23,0.002326955594512764
2024-07-24,0.007068058532939181
2024-07-25,0.00452121011422138
2024-07-26,0.6613664974608845
2024-07-29,0.0
2024-07-30,0.0
2024-07-31,0.0
2024-08-01,0.0
2024-08-02,0.5
2024-08-05,0.005903203779410421
2024-08-06,0.011908538286549364
2024-08-07,0.0057296977712384956
2024-08-08,0.0062415450624453694
2024-08-09,0.01832358935716666
2024-08-12,0.002654410962489917
2024-08-13,0.00176540688864546
2024-08-14,0.0013512611395313512
2024-08-15,0.0016068693021318026
2024-08-16,0.33333333333333337
2024-08-19,0.00921258336641484
2024-08-20,0.004564986014030187
2024-08-21,0.002937175675051862
2024-08-22,0.006812707099863757
2024-08-23,0.003402124816293761
2024-08-26,0.004329282899633524
2024-08-27,0.0032083405809857357
2024-08-28,0.0034435458183440237
2024-08-29,0.016279208769727882
2024-08-30,0.02027436899492363
2024-09-03,0.01690150626880521
2024-09-04,0.0032637317498908636
2024-09-05,0.00041171502820117056
2024-09-06,0.6605390327582386
