date,symbol,router,aggregator,weights,mu,var
2022-09-23,NVDA,diversity,precision,"{'heur': 0.054133493146427666, 'rl': 0.9458665068535724}",-0.09383840098583963,0.05204487769928411
2022-09-23,MSFT,diversity,precision,"{'heur': 0.08020769023710955, 'rl': 0.9197923097628905}",-0.15223155178598097,0.053946688956092885
2022-09-23,AAPL,diversity,precision,"{'heur': 0.09189072909058749, 'rl': 0.9081092709094125}",-0.14899236041405456,0.053880635457945754
2022-09-23,GOOGL,diversity,precision,"{'heur': 0.07435869190267211, 'rl': 0.9256413080973278}",-0.12501373075284333,0.05384857200019299
2022-09-23,AMZN,diversity,precision,"{'heur': 0.07853686845528232, 'rl': 0.9214631315447177}",-0.12759830852016413,0.05406987213646838
2022-09-23,META,diversity,precision,"{'heur': 0.07163396535734003, 'rl': 0.92836603464266}",-0.12388660672442474,0.053916959310999525
2022-09-30,NVDA,diversity,precision,"{'heur': 0.09508107692342778, 'rl': 0.9049189230765722}",-0.1390329291633529,0.05406014750464981
2022-09-30,MSFT,diversity,precision,"{'heur': 0.08436765927757701, 'rl': 0.915632340722423}",-0.16903354385076785,0.053954145352051855
2022-09-30,AAPL,diversity,precision,"{'heur': 0.08494807436455368, 'rl': 0.9150519256354462}",-0.14213004118654707,0.05406522504695506
2022-09-30,GOOGL,diversity,precision,"{'heur': 0.07839888596288735, 'rl': 0.9216011140371128}",-0.13541636698462187,0.053943092471528245
2022-09-30,AMZN,diversity,precision,"{'heur': 0.08690917856095032, 'rl': 0.9130908214390497}",-0.15097149504128202,0.05407813009938567
2022-09-30,META,diversity,precision,"{'heur': 0.07100140504973027, 'rl': 0.9289985949502696}",-0.13544344576710737,0.053881652002898746
2022-10-07,NVDA,diversity,precision,"{'heur': 0.10036572353362379, 'rl': 0.8996342764663762}",-0.14459830694927436,0.053858199778829045
2022-10-07,MSFT,diversity,precision,"{'heur': 0.1253314519374949, 'rl': 0.8746685480625052}",-0.20132374502136607,0.05095193709320783
2022-10-07,AAPL,diversity,precision,"{'heur': 0.08758327412627777, 'rl': 0.9124167258737224}",-0.15479001534801826,0.05410135037340231
2022-10-07,GOOGL,diversity,precision,"{'heur': 0.11798228480475316, 'rl': 0.8820177151952469}",-0.1673564993478578,0.05182215327974306
2022-10-07,AMZN,diversity,precision,"{'heur': 0.1269409178991886, 'rl': 0.8730590821008115}",-0.18549232768188673,0.05088292367756006
2022-10-07,META,diversity,precision,"{'heur': 0.10231414113901072, 'rl': 0.8976858588609893}",-0.1663852233625784,0.05353748354539439
