date,symbol,router,aggregator,weights,mu,var
2022-12-09,MSFT,risk,median,{'heur': 1.0},-0.2770952981735572,1e-06
2022-12-09,AAPL,risk,median,{'heur': 1.0},-1.5300078846687648,1e-06
2022-12-09,GOOGL,risk,median,{'heur': 1.0},-1.5671849810476346,1e-06
2022-12-09,AMZN,risk,median,{'heur': 1.0},-1.3880561444915662,1e-06
2022-12-09,META,risk,median,{'heur': 1.0},-1.0997431101464852,1e-06
2022-12-16,NVDA,risk,median,{'heur': 1.0},-0.18190825200296185,1e-06
2022-12-16,MSFT,risk,median,{'heur': 1.0},-1.30857623873655,1e-06
2022-12-16,AAPL,risk,median,{'heur': 1.0},-1.660531905433079,1e-06
2022-12-16,GOOGL,risk,median,{'heur': 1.0},-1.6787417053684024,1e-06
2022-12-16,AMZN,risk,median,{'heur': 1.0},-1.4646101897453996,1e-06
2022-12-16,META,risk,median,{'heur': 1.0},-1.108888743563741,1e-06
2022-12-23,NVDA,risk,median,{'heur': 1.0},-1.5115865890880895,1e-06
2022-12-23,MSFT,risk,median,{'heur': 1.0},-1.5636997922130038,1e-06
2022-12-23,AAPL,risk,median,{'heur': 1.0},-1.7007829184752206,1e-06
2022-12-23,GOOGL,risk,median,{'heur': 1.0},-1.6810177197427132,1e-06
2022-12-23,AMZN,risk,median,{'heur': 1.0},-1.7610734365829743,1e-06
2022-12-23,META,risk,median,{'heur': 1.0},-1.0920695440821275,1e-06
2022-12-30,NVDA,risk,median,{'heur': 1.0},-1.563884364749381,1e-06
2022-12-30,MSFT,risk,median,{'heur': 1.0},-1.3664556865007915,1e-06
2022-12-30,AAPL,risk,median,{'heur': 1.0},-1.66373413555374,1e-06
2022-12-30,GOOGL,risk,median,{'heur': 1.0},-1.6941855747004175,1e-06
2022-12-30,AMZN,risk,median,{'heur': 1.0},-1.7884303414995273,1e-06
2022-12-30,META,risk,median,{'heur': 1.0},-0.09954364330941466,1e-06
2023-01-06,NVDA,risk,median,{'heur': 1.0},-1.3493056503953011,1e-06
2023-01-06,MSFT,risk,median,{'heur': 1.0},-1.6553349638573271,1e-06
2023-01-06,AAPL,risk,median,{'heur': 1.0},-1.6707766753528845,1e-06
2023-01-06,GOOGL,risk,median,{'heur': 1.0},-1.7100856837288,1e-06
2023-01-06,AMZN,risk,median,{'heur': 1.0},-1.2104262891865551,1e-06
2023-01-06,META,risk,median,{'heur': 1.0},0.03565301314484738,1e-06
2023-01-13,NVDA,risk,median,{'heur': 1.0},0.1036824772028328,1e-06
2023-01-13,MSFT,risk,median,{'heur': 1.0},-1.0797247075751173,1e-06
2023-01-13,AAPL,risk,median,{'heur': 1.0},-1.1279986255036716,1e-06
2023-01-13,GOOGL,risk,median,{'heur': 1.0},-1.1095901172425815,1e-06
2023-01-13,AMZN,risk,median,{'heur': 1.0},-0.04917173034568821,1e-06
2023-01-13,META,risk,median,{'heur': 1.0},-0.09967965324693992,1e-06
2023-01-20,NVDA,risk,median,{'heur': 1.0},1.2644889809239794,1e-06
2023-01-20,MSFT,risk,median,{'heur': 1.0},-0.025508455549824192,1e-06
2023-01-20,AAPL,risk,median,{'heur': 1.0},-0.015833068271328167,1e-06
2023-01-20,GOOGL,risk,median,{'heur': 1.0},0.04956024306131514,1e-06
2023-01-20,AMZN,risk,median,{'heur': 1.0},0.0029714100918340827,1e-06
2023-01-20,META,risk,median,{'heur': 1.0},0.1618301805481059,1e-06
2023-01-27,NVDA,risk,median,{'heur': 1.0},1.4480930286909994,1e-06
2023-01-27,MSFT,risk,median,{'heur': 1.0},0.042088677728211635,1e-06
2023-01-27,AAPL,risk,median,{'heur': 1.0},0.07242065712096973,1e-06
2023-01-27,GOOGL,risk,median,{'heur': 1.0},0.10459855774784768,1e-06
2023-01-27,AMZN,risk,median,{'heur': 1.0},0.10845036069643782,1e-06
