date,symbol,router,aggregator,weights,mu,var
2022-09-23,NVDA,risk,precision,{'heur': 1.0},-1.987892427513622,0.0014321960466404933
2022-09-23,MSFT,risk,precision,{'heur': 1.0},-1.722933236692858,0.00032523785118990066
2022-09-23,AAPL,risk,precision,{'heur': 1.0},-1.6051775407958997,0.0004768142433235284
2022-09-23,GOOGL,risk,precision,{'heur': 1.0},-1.7588727955736776,0.00047408281187412594
2022-09-23,AMZN,risk,precision,{'heur': 1.0},-1.7159023900049801,0.0006336893527741104
2022-09-23,META,risk,precision,{'heur': 1.0},-1.7887251619430533,0.0009003639385889876
2022-09-30,NVDA,risk,precision,{'heur': 1.0},-1.566253651329601,0.0011072524823822856
2022-09-30,MSFT,risk,precision,{'heur': 1.0},-1.6973168897625484,0.00030324368069976015
2022-09-30,AAPL,risk,precision,{'heur': 1.0},-1.6646469135308801,0.0005329869735994144
2022-09-30,GOOGL,risk,precision,{'heur': 1.0},-1.7251892988875492,0.0003865223286950366
2022-09-30,AMZN,risk,precision,{'heur': 1.0},-1.6542661368457772,0.0006063898248536535
2022-09-30,META,risk,precision,{'heur': 1.0},-1.8076272530325457,0.000909517287331839
2022-10-07,NVDA,risk,precision,{'heur': 1.0},-1.52573241180768,0.0013116216949778299
2022-10-07,MSFT,risk,precision,{'heur': 1.0},-1.3908889053037747,0.0005213645842478726
2022-10-07,AAPL,risk,precision,{'heur': 1.0},-1.6515683616544117,0.0006768404049359328
2022-10-07,GOOGL,risk,precision,{'heur': 1.0},-1.4093912306402108,0.00046871222926514
2022-10-07,AMZN,risk,precision,{'heur': 1.0},-1.3639448802884462,0.000805181288762127
2022-10-07,META,risk,precision,{'heur': 1.0},-1.531083713829485,0.0009409246954228622
2022-10-14,NVDA,risk,precision,{'heur': 1.0},-1.5591122073045856,0.0011400229876358866
2022-10-14,MSFT,risk,precision,{'heur': 1.0},-1.6544522563369932,0.0004506997386051522
2022-10-14,AAPL,risk,precision,{'heur': 1.0},-1.6551730909743665,0.0005051775981389315
2022-10-14,GOOGL,risk,precision,{'heur': 1.0},-1.3603469863633109,0.0003110200994006169
2022-10-14,AMZN,risk,precision,{'heur': 1.0},-1.7335930429287207,0.0005775777409363238
