date,equity
2024-01-02,122590.80930538556
2024-01-03,121739.03092109284
2024-01-04,121528.65633391433
2024-01-05,121948.07853459152
2024-01-08,124046.46221917894
2024-01-09,122857.26848288218
2024-01-10,122934.08934475193
2024-01-11,122722.70132606388
2024-01-12,122614.49437622691
2024-01-16,121864.28289109415
2024-01-17,120699.76494160645
2024-01-18,120621.57862015863
2024-01-19,122243.9683030184
2024-01-22,123075.97417867991
2024-01-23,124028.32106755326
2024-01-24,124932.67235431467
2024-01-25,125921.93119370047
2024-01-26,126237.11089009093
2024-01-29,127621.30081941243
2024-01-30,127358.470571006
2024-01-31,125535.11737600132
2024-02-01,128710.13449311297
2024-02-02,130862.25418189933
2024-02-05,132471.3985211976
2024-02-06,132744.8469789406
2024-02-07,134093.17848961728
2024-02-08,134704.56320199565
2024-02-09,136740.80693758553
2024-02-12,137096.5933274214
2024-02-13,136282.15722438038
2024-02-14,141212.53181311037
2024-02-15,144026.36378762042
2024-02-16,142441.8939666247
2024-02-20,140099.07714858258
2024-02-21,137189.25196250062
2024-02-22,144734.2262994765
2024-02-23,143264.77958667223
2024-02-26,145966.53306516891
2024-02-27,146263.11670119752
2024-02-28,146053.38988955412
2024-02-29,148475.0470187958
2024-03-01,152084.0841628646
2024-03-04,157283.55538760725
2024-03-05,154537.64934252115
2024-03-06,157400.41226605276
2024-03-07,160262.837596608
2024-03-08,158525.63646574807
2024-03-11,155133.78142362527
2024-03-12,158856.1162285225
2024-03-13,158686.07395930548
2024-03-14,156486.35394811278
2024-03-15,154575.6096387179
2024-03-18,154330.21300452037
2024-03-19,153954.4360957778
2024-03-20,157441.29239560204
2024-03-21,161433.8263834766
2024-03-22,160142.14054641078
2024-03-25,162962.29053852326
2024-03-26,161128.16940520474
2024-03-27,160716.51138054472
2024-03-28,161473.35087223817
2024-04-01,161297.14003249633
2024-04-02,158867.0869758443
2024-04-03,161070.35485826453
2024-04-04,157125.98861691923
2024-04-05,159141.65483420718
2024-04-08,157921.94295108944
2024-04-09,155265.50193629068
2024-04-10,154407.3030605323
2024-04-11,156371.9253227902
2024-04-12,152311.1721762514
2024-04-15,150241.5959197311
2024-04-16,151675.17273308063
2024-04-17,150454.1480537722
2024-04-18,147976.24686222352
2024-04-19,142401.65834924104
2024-04-22,144260.1281916519
2024-04-23,147082.87655580952
2024-04-24,147026.98627017523
2024-04-25,148328.87048223394
2024-04-26,148234.7895986442
2024-04-29,150247.13194262504
2024-04-30,148066.86730093803
2024-05-01,146673.54140705577
2024-05-02,148919.7274241378
2024-05-03,150950.56561591363
2024-05-06,153405.13326094465
2024-05-07,153323.4882510423
2024-05-08,155412.60972579895
2024-05-09,157522.50497031552
2024-05-10,157204.05427655045
2024-05-13,157352.59193122355
2024-05-14,157801.77186798136
2024-05-15,161588.1335269743
2024-05-16,160795.44046392618
2024-05-17,161480.82885834458
2024-05-20,161341.42432166683
2024-05-21,163607.81867175535
2024-05-22,164610.1833533721
2024-05-23,164518.70754353527
2024-05-24,167609.91014012689
2024-05-28,166038.1925084761
2024-05-29,164775.0209918248
2024-05-30,164408.4927746815
2024-05-31,160422.82014111668
2024-06-03,160085.4572682542
2024-06-04,158980.79843418256
2024-06-05,162205.23611599958
2024-06-06,160811.53356561868
2024-06-07,159773.79553326796
2024-06-10,161029.29567246552
2024-06-11,161132.3110271934
2024-06-12,162163.070103648
2024-06-13,161712.4635594704
2024-06-14,159930.0955290535
2024-06-17,160967.64722212366
2024-06-18,162911.56415445267
2024-06-20,160169.67028820893
2024-06-21,158956.68808584101
2024-06-24,157127.03951780507
2024-06-25,156648.245635654
2024-06-26,155252.0097767455
2024-06-27,154623.64911982897
2024-06-28,154256.3099896598
2024-07-01,154610.14617037182
2024-07-02,155317.68236642267
2024-07-03,156472.18430138117
2024-07-05,156422.4128484641
2024-07-08,157265.86643903732
2024-07-09,156750.0863762264
2024-07-10,158839.81309915896
2024-07-11,157794.22398142575
2024-07-12,159157.9430488903
2024-07-15,159683.91482014474
2024-07-16,160744.26363423266
2024-07-17,156433.30433965815
2024-07-18,155984.42519471934
2024-07-19,155309.78301429003
2024-07-22,156900.9814094991
2024-07-23,157357.55413517635
